iter	Passed	Remaining
255	48678	141472
256	48872	141293
257	49078	141148
258	49288	141014
259	49494	140868
260	49716	140766
261	49958	140723
262	50157	140555
263	50349	140367
264	50540	140178
265	50734	139997
266	50924	139804
267	51116	139617
268	51302	139413
269	51489	139213
270	51682	139026
271	51870	138829
272	52052	138615
273	52251	138448
274	52442	138258
275	52623	138040
276	52808	137835
277	53004	137658
278	53197	137475
279	53384	137275
280	53569	137069
281	53753	136862
282	53937	136653
283	54119	136441
284	54314	136261
285	54522	136116
286	54699	135891
287	54887	135693
288	55069	135481
289	55255	135280
290	55437	135069
291	55619	134858
292	55795	134631
293	55978	134424
294	56155	134202
295	56337	133992
296	56514	133770
297	56712	133598
298	56898	133397
299	57080	133188
300	57258	132969
301	57456	132796
302	57638	132588
303	57817	132371
304	57998	132159
305	58182	131956
306	58364	131748
307	58546	131540
308	58729	131333
309	58912	131128
310	59096	130924
311	59280	130720
312	59462	130513
313	59647	130311
314	59825	130096
315	60007	129890
316	60183	129668
317	60365	129462
318	60543	129248
319	60731	129053
320	60915	128852
321	61096	128644
322	61283	128449
323	61468	128249
324	61651	128045
325	61830	127834
326	62006	127616
327	62188	127409
328	62366	127197
329	62545	126985
330	62728	126782
331	62911	126581
332	63093	126376
333	63281	126183
334	63465	125983
335	63653	125790
336	63831	125580
337	64015	125380
338	64193	125168
339	64374	124961
340	64553	124753
341	64738	124555
342	64922	124355
343	65107	124158
344	65291	123959
345	65478	123766
346	65658	123559
347	65840	123356
348	66021	123152
349	66203	122948
350	66383	122742
351	66563	122536
352	66747	122338
353	66933	122143
354	67112	121936
355	67294	121735
356	67478	121537
357	67660	121335
358	67839	121128
359	68035	120951
360	68212	120741
361	68390	120533
362	68569	120326
363	68753	120129
364	68941	119938
365	69129	119748
366	69313	119551
367	69498	119355
368	69683	119160
369	69862	118955
370	70039	118746
371	70220	118543
372	70398	118337
373	70578	118134
374	70758	117931
375	70942	117734
376	71118	117525
377	71304	117332
378	71483	117126
379	71666	116929
380	71842	116721
381	72039	116546
382	72217	116339
383	72398	116139
384	72573	115928
385	72752	115726
386	72932	115523
387	73114	115324
388	73298	115128
389	73482	114933
390	73661	114730
391	73843	114532
392	74023	114330
393	74199	114123
394	74376	113917
395	74557	113719
396	74740	113522
397	74921	113323
398	75105	113128
