;Count;N_variants;variants
key;1;1;{'big': 1}
territories;1;1;{'countries': 1}
constructions;1;1;{'structures': 1}
soil;1;1;{'ground': 1}
sorted;1;1;{'separated': 1}
relocation;1;1;{'commuting': 1}
wavy;1;1;{'vulnerable': 1}
escape;1;1;{'chase': 1}
reasoned;1;1;{'clear': 1}
affinity;1;1;{'trend': 1}
topical;1;1;{'actual': 1}
turnover;1;1;{'amount': 1}
weakens;1;1;{'break': 1}
husbands;1;1;{'men': 1}
perish;1;1;{'spoil': 1}
trusted;1;1;{'approved': 1}
shaped;1;1;{'made': 1}
protective;1;1;{'defiance': 1}
impede;1;1;{'block': 1}
composed;1;1;{'consist': 1}
switching;1;1;{'moving': 1}
prize;1;1;{'price': 1}
couple;1;1;{'pair': 1}
artwork;1;1;{'creativity': 1}
assumed;1;1;{'suggested': 1}
disrupted;1;1;{'violated': 1}
infamous;1;1;{'famous': 1}
forming;1;1;{'being': 1}
accelerates;1;1;{'engines': 1}
basics;1;1;{'basis': 1}
overly;1;1;{'too': 1}
uniform;1;1;{'equal': 1}
bunch;1;1;{'bond': 1}
motion;1;1;{'point': 1}
allotted;1;1;{'squandered': 1}
scrolling;1;1;{'seeing': 1}
surge;1;1;{'jump': 1}
defence;1;1;{'protection': 1}
exceptionally;1;1;{'really': 1}
justly;1;1;{'honest': 1}
suburbs;1;1;{'periphery': 1}
Cathedral;1;1;{'Temple': 1}
superior;1;1;{'prevailing': 1}
releases;1;1;{'trade': 1}
Combining;1;1;{'Selecting': 1}
certificates;1;1;{'card': 1}
execute;1;1;{'kill': 1}
lock;1;1;{'set': 1}
leaps;1;1;{'jumps': 1}
autonomous;1;1;{'regardless': 1}
spikes;1;1;{'jumps': 1}
prioritize;1;1;{'choose': 1}
false;1;1;{'unfair': 1}
combines;1;1;{'exists': 1}
telephones;1;1;{'cells': 1}
thrive;1;1;{'strive': 1}
operate;1;1;{'hold': 1}
nurture;1;1;{'mature': 1}
swapped;1;1;{'exchanged': 1}
Very;1;1;{'Too': 1}
suppresses;1;1;{'take': 1}
locate;1;1;{'establish': 1}
applies;1;1;{'is': 1}
affiliated;1;1;{'daughter': 1}
thereafter;1;1;{'then': 1}
gymnastics;1;1;{'gymnastic': 1}
violation;1;1;{'breakers': 1}
alleviated;1;1;{'improved': 1}
joint;1;1;{'joining': 1}
transformed;1;1;{'disposed': 1}
legs;1;1;{'feet': 1}
popularizing;1;1;{'populating': 1}
respective;1;1;{'same': 1}
ride;1;1;{'road': 1}
bands;1;1;{'group': 1}
Following;1;1;{'In': 1}
cleared;1;1;{'cleaned': 1}
notify;1;1;{'note': 1}
dvd;1;1;{'film': 1}
capacity;1;1;{'fertility': 1}
listed;1;1;{'given': 1}
restoration;1;1;{'redecoration': 1}
launch;1;1;{'start': 1}
cites;1;1;{'claims': 1}
loud;1;1;{'high': 1}
obscure;1;1;{'absent': 1}
breach;1;1;{'reduce': 1}
dissemination;1;1;{'sharing': 1}
respond;1;1;{'relates': 1}
carefree;1;1;{'care': 1}
tagged;1;1;{'titled': 1}
outcome;1;1;{'way': 1}
prior;1;1;{'previous': 1}
security;1;1;{'safety': 1}
running;1;1;{'holding': 1}
vested;1;1;{'vest': 1}
enroll;1;1;{'enter': 1}
entail;1;1;{'possess': 1}
probable;1;1;{'possible': 1}
essence;1;1;{'addition': 1}
assure;1;1;{'ensure': 1}
cattle;1;1;{'beast': 1}
hideous;1;1;{'wars': 1}
cyclical;1;1;{'cyclic': 1}
cereal;1;1;{'bread': 1}
inspect;1;1;{'moderate': 1}
nuclear;1;1;{'atomic': 1}
realization;1;1;{'translation': 1}
augmentation;1;1;{'widening': 1}
headmasters;1;1;{'chiefs': 1}
encounter;1;1;{'meet': 1}
layout;1;1;{'outlay': 1}
nutrition;1;1;{'food': 1}
kid;1;1;{'young': 1}
minimized;1;1;{'saved': 1}
date;1;1;{'data': 1}
appeals;1;1;{'applies': 1}
entirety;1;1;{'all': 1}
solely;1;1;{'only': 1}
persecuted;1;1;{'punished': 1}
recruitment;1;1;{'employ': 1}
gratefully;1;1;{'thankfully': 1}
grasp;1;1;{'explain': 1}
recap;1;1;{'resume': 1}
owner;1;1;{'keeper': 1}
immature;1;1;{'small': 1}
recordings;1;1;{'records': 1}
professor;1;1;{'tutor': 1}
reject;1;1;{'reflect': 1}
domains;1;1;{'deals': 1}
ladder;1;1;{'stairs': 1}
blocks;1;1;{'quarters': 1}
inverse;1;1;{'backward': 1}
creators;1;1;{'producers': 1}
integral;1;1;{'inseparable': 1}
hinder;1;1;{'destroy': 1}
spoil;1;1;{'injure': 1}
riches;1;1;{'qualities': 1}
branch;1;1;{'filial': 1}
unaware;1;1;{'unconscious': 1}
operation;1;1;{'function': 1}
cruel;1;1;{'crucial': 1}
straight;1;1;{'strict': 1}
Drug;1;1;{'Doping': 1}
mature;1;1;{'adult': 1}
parties;1;1;{'hand': 1}
usability;1;1;{'serve': 1}
definitions;1;1;{'determinations': 1}
reads;1;1;{'put': 1}
gloomy;1;1;{'ugly': 1}
showcasing;1;1;{'showing': 1}
equalling;1;1;{'having': 1}
violate;1;1;{'break': 1}
head;1;1;{'president': 1}
thick;1;1;{'fat': 1}
peculiarity;1;1;{'specification': 1}
immigrants;1;1;{'emigrants': 1}
eliminating;1;1;{'reducing': 1}
prevented;1;1;{'cancelled': 1}
reflecting;1;1;{'facing': 1}
directions;1;1;{'sides': 1}
enjoyed;1;1;{'occupied': 1}
violent;1;1;{'vigilant': 1}
perceptions;1;1;{'understandings': 1}
deliveries;1;1;{'delays': 1}
dumped;1;1;{'left': 1}
assumption;1;1;{'proposal': 1}
barely;1;1;{'slightly': 1}
stem;1;1;{'decrease': 1}
thoroughly;1;1;{'rarely': 1}
static;1;1;{'statistic': 1}
appreciated;1;1;{'estimated': 1}
diet;1;1;{'ration': 1}
brink;1;1;{'merge': 1}
discs;1;1;{'songs': 1}
expose;1;1;{'exposure': 1}
pushes;1;1;{'stimulates': 1}
movements;1;1;{'destinations': 1}
allocate;1;1;{'permit': 1}
defeat;1;1;{'destroy': 1}
arrest;1;1;{'find': 1}
down;1;1;{'up': 1}
white;1;1;{'general': 1}
globally;1;1;{'worldwide': 1}
outperformed;1;1;{'outnumbered': 1}
staring;1;1;{'watching': 1}
achievement;1;1;{'destination': 1}
bills;1;1;{'fees': 1}
heavy;1;1;{'hard': 1}
emitted;1;1;{'produced': 1}
wishes;1;1;{'wants': 1}
ground;1;1;{'earth': 1}
transnational;1;1;{'trans': 1}
sights;1;1;{'sightseeing': 1}
malls;1;1;{'markets': 1}
guidance;1;1;{'relationship': 1}
ear;1;1;{'mind': 1}
acknowledge;1;1;{'state': 1}
insist;1;1;{'persist': 1}
direct;1;1;{'take': 1}
depressed;1;1;{'gross': 1}
shooting;1;1;{'recording': 1}
violet;1;1;{'vigilant': 1}
emerge;1;1;{'have': 1}
size;1;1;{'high': 1}
secondary;1;1;{'side': 1}
sophisticated;1;1;{'complicated': 1}
elected;1;1;{'voted': 1}
abuse;1;1;{'pressure': 1}
explicit;1;1;{'suggest': 1}
dissolve;1;1;{'disband': 1}
presence;1;1;{'profits': 1}
wearing;1;1;{'have': 1}
Afterward;1;1;{'When': 1}
deprive;1;1;{'decline': 1}
Police;1;1;{'Policy': 1}
electric;1;1;{'electronic': 1}
police;1;1;{'policy': 1}
submit;1;1;{'give': 1}
admits;1;1;{'accepts': 1}
undertaken;1;1;{'conducted': 1}
undergo;1;1;{'represent': 1}
amiss;1;1;{'incompetent': 1}
devise;1;1;{'research': 1}
dweller;1;1;{'liver': 1}
specify;1;1;{'realise': 1}
pain;1;1;{'sick': 1}
denies;1;1;{'refuses': 1}
biases;1;1;{'preferences': 1}
estimated;1;1;{'was': 1}
unfounded;1;1;{'invalid': 1}
formation;1;1;{'building': 1}
forever;1;1;{'permanently': 1}
offensive;1;1;{'offending': 1}
uphold;1;1;{'save': 1}
shoots;1;1;{'take': 1}
luck;1;1;{'fortune': 1}
adapting;1;1;{'adopting': 1}
divert;1;1;{'grab': 1}
Hence;1;1;{'Subsequently': 1}
culprits;1;1;{'criminals': 1}
lows;1;1;{'thoughts': 1}
contaminated;1;1;{'mess': 1}
evolve;1;1;{'developing': 1}
endurance;1;1;{'stamina': 1}
housing;1;1;{'home': 1}
researched;1;1;{'investigated': 1}
measurement;1;1;{'rate': 1}
grant;1;1;{'give': 1}
predicted;1;1;{'forecasted': 1}
curbed;1;1;{'reduced': 1}
fruitful;1;1;{'thankful': 1}
tighten;1;1;{'strict': 1}
preserved;1;1;{'saved': 1}
arrives;1;1;{'move': 1}
screens;1;1;{'screenplays': 1}
ready;1;1;{'able': 1}
distress;1;1;{'grieve': 1}
terrace;1;1;{'tribune': 1}
distribute;1;1;{'diffuse': 1}
font;1;1;{'text': 1}
Along;1;1;{'Among': 1}
spans;1;1;{'rallies': 1}
sustained;1;1;{'sustainable': 1}
domestically;1;1;{'country': 1}
objects;1;1;{'subjects': 1}
row;1;1;{'raw': 1}
cancel;1;1;{'abandon': 1}
promise;1;1;{'are': 1}
capability;1;1;{'possibility': 1}
evaluated;1;1;{'measured': 1}
realisation;1;1;{'relation': 1}
attested;1;1;{'noticed': 1}
mayor;1;1;{'head': 1}
begun;1;1;{'become': 1}
imported;1;1;{'exporting': 1}
sets;1;1;{'backgrounds': 1}
changeable;1;1;{'rapid': 1}
happens;1;1;{'is': 1}
losses;1;1;{'costs': 1}
affordable;1;1;{'acceptable': 1}
responsible;1;1;{'reasonable': 1}
positions;1;1;{'stage': 1}
evident;1;1;{'visibly': 1}
Watching;1;1;{'Seeing': 1}
must;1;1;{'should': 1}
markets;1;1;{'companies': 1}
selling;1;1;{'sharing': 1}
Also;1;1;{'Then': 1}
declines;1;1;{'drop': 1}
discussed;1;1;{'debated': 1}
risen;1;1;{'raised': 1}
trouble;1;1;{'troubled': 1}
authorities;1;1;{'government': 1}
downward;1;1;{'negative': 1}
manufacturers;1;1;{'creators': 1}
improvement;1;1;{'deal': 1}
billions;1;1;{'billiards': 1}
before;1;1;{'earlier': 1}
achievements;1;1;{'results': 1}
opposite;1;1;{'contrast': 1}
fact;1;1;{'data': 1}
motivation;1;1;{'pusher': 1}
sure;1;1;{'confident': 1}
contains;1;1;{'considers': 1}
compete;1;1;{'race': 1}
falls;1;1;{'falling': 1}
affects;1;1;{'reflects': 1}
energy;1;1;{'power': 1}
features;1;1;{'information': 1}
transporting;1;1;{'bringing': 1}
Nowadays;1;1;{'Now': 1}
contain;1;1;{'includes': 1}
aspects;1;1;{'opportunities': 1}
places;1;1;{'positions': 1}
convinced;1;1;{'convicted': 1}
fans;1;1;{'lovers': 1}
professions;1;1;{'works': 1}
laws;1;1;{'rules': 1}
taking;1;1;{'from': 1}
sometimes;1;1;{'something': 1}
varied;1;1;{'fluctuated': 1}
understanding;1;1;{'meanings': 1}
taught;1;1;{'studied': 1}
mean;1;1;{'source': 1}
mentioned;1;1;{'included': 1}
tobacco;1;1;{'smoking': 1}
thinking;1;1;{'mind': 1}
further;1;1;{'next': 1}
personal;1;1;{'Personally': 1}
careers;1;1;{'paths': 1}
best;1;1;{'most': 1}
popularity;1;1;{'property': 1}
suggest;1;1;{'say': 1}
involves;1;1;{'reaches': 1}
useless;1;1;{'irrelevant': 1}
organisations;1;1;{'service': 1}
upward;1;1;{'growth': 1}
differently;1;1;{'oppositely': 1}
appropriate;1;1;{'propriety': 1}
everybody;1;1;{'all': 1}
consumption;1;1;{'meal': 1}
exceptions;1;1;{'excludes': 1}
abilities;1;1;{'conditions': 1}
views;1;1;{'look': 1}
tells;1;1;{'say': 1}
practical;1;1;{'serving': 1}
growing;1;1;{'broadening': 1}
movies;1;1;{'clips': 1}
finding;1;1;{'searching': 1}
remaining;1;1;{'ending': 1}
case;1;1;{'fact': 1}
succeed;1;1;{'success': 1}
extent;1;1;{'amount': 1}
stays;1;1;{'located': 1}
personally;1;1;{'myself': 1}
space;1;1;{'cosmos': 1}
What;1;1;{'that': 1}
caused;1;1;{'called': 1}
sharp;1;1;{'flexed': 1}
sources;1;1;{'settings': 1}
prison;1;1;{'jail': 1}
issues;1;1;{'questions': 1}
close;1;1;{'near': 1}
fluctuate;1;1;{'differs': 1}
attendance;1;1;{'appearance': 1}
worse;1;1;{'less': 1}
pleasure;1;1;{'enjoy': 1}
minimum;1;1;{'maximum': 1}
reducing;1;1;{'lowering': 1}
shops;1;1;{'magazine': 1}
rest;1;1;{'others': 1}
matter;1;1;{'depend': 1}
olds;1;1;{'people': 1}
saw;1;1;{'have': 1}
relatives;1;1;{'siblings': 1}
pirate;1;1;{'free': 1}
practise;1;1;{'provide': 1}
end;1;1;{'result': 1}
incomes;1;1;{'amounts': 1}
indicators;1;1;{'rates': 1}
overall;1;1;{'all': 1}
purposes;1;1;{'aims': 1}
differs;1;1;{'varies': 1}
forms;1;1;{'types': 1}
present;1;1;{'show': 1}
Obviously;1;1;{'Clearly': 1}
subjects;1;1;{'objects': 1}
differ;1;1;{'varied': 1}
necessity;1;1;{'necessary': 1}
salaries;1;1;{'price': 1}
temperature;1;1;{'degree': 1}
buy;1;1;{'consume': 1}
chemicals;1;1;{'chemistry': 1}
Moreover;1;1;{'Next': 1}
steadily;1;1;{'stable': 1}
nowadays;1;1;{'today': 1}
towards;1;1;{'toward': 1}
amounts;1;1;{'is': 1}
provides;1;1;{'makes': 1}
expensive;1;1;{'wasteful': 1}
disagree;1;1;{'dispute': 1}
Although;1;1;{'Through': 1}
course;1;1;{'direction': 1}
group;1;1;{'profile': 1}
effects;1;1;{'outcomes': 1}
illegal;1;1;{'outlawed': 1}
company;1;1;{'group': 1}
profits;1;1;{'shares': 1}
entertainment;1;1;{'fun': 1}
goes;1;1;{'does': 1}
leisure;1;1;{'relaxing': 1}
history;1;1;{'life': 1}
controversial;1;1;{'discussed': 1}
transferred;1;1;{'transited': 1}
sector;1;1;{'job': 1}
being;1;1;{'of': 1}
phones;1;1;{'game': 1}
wants;1;1;{'would': 1}
government;1;1;{'authority': 1}
lives;1;1;{'beings': 1}
spend;1;1;{'use': 1}
In;1;1;{'And': 1}
products;1;1;{'information': 1}
watching;1;1;{'speculating': 1}
education;1;1;{'diploma': 1}
noticeable;1;1;{'feasible': 1}
useful;1;1;{'true': 1}
differences;1;1;{'changes': 1}
girls;1;1;{'women': 1}
brands;1;1;{'labels': 1}
ages;1;1;{'years': 1}
disappearance;1;1;{'decline': 1}
graph;1;1;{'line': 1}
poor;1;1;{'adverse': 1}
tv;1;1;{'television': 1}
understand;1;1;{'realise': 1}
first;1;1;{'most': 1}
benefits;1;1;{'positives': 1}
grew;1;1;{'raised': 1}
films;1;1;{'cinema': 1}
Overall;1;1;{'Overview': 1}
paid;1;1;{'spent': 1}
situations;1;1;{'times': 1}
existence;1;1;{'remaining': 1}
prevalence;1;1;{'dominating': 1}
success;1;1;{'fortune': 1}
depend;1;1;{'tell': 1}
teenagers;1;1;{'children': 1}
produces;1;1;{'gives': 1}
exist;1;1;{'be': 1}
accessible;1;1;{'acceptable': 1}
climate;1;1;{'nature': 1}
dangerous;1;1;{'awful': 1}
includes;1;1;{'contains': 1}
discuss;1;1;{'argue': 1}
steady;1;1;{'monotonous': 1}
conclude;1;1;{'consider': 1}
variety;1;1;{'arrange': 1}
consists;1;1;{'is': 1}
against;1;1;{'versus': 1}
bring;1;1;{'out': 1}
responsibility;1;1;{'order': 1}
rates;1;1;{'scores': 1}
may;1;1;{'might': 1}
lifestyle;1;1;{'life': 1}
thinks;1;1;{'consider': 1}
lack;1;1;{'miss': 1}
impossible;1;1;{'unreliable': 1}
difficulties;1;1;{'troubles': 1}
lot;1;1;{'land': 1}
drawbacks;1;1;{'downgrades': 1}
uses;1;1;{'deploy': 1}
gadgets;1;1;{'tools': 1}
considered;1;1;{'claimed': 1}
clear;1;1;{'set': 1}
delivered;1;1;{'provided': 1}
took;1;1;{'placed': 1}
categories;1;1;{'parts': 1}
trends;1;1;{'actions': 1}
decision;1;1;{'way': 1}
know;1;1;{'realize': 1}
unnecessary;1;1;{'clear': 1}
employed;1;1;{'working': 1}
phenomenon;1;1;{'aspect': 1}
degrees;1;1;{'points': 1}
service;1;1;{'serves': 1}
decide;1;1;{'concrete': 1}
experiences;1;1;{'have': 1}
reduced;1;1;{'fall': 1}
results;1;1;{'effects': 1}
family;1;1;{'this': 1}
media;1;1;{'websites': 1}
building;1;1;{'heaving': 1}
cheaper;1;1;{'less': 1}
occurred;1;1;{'happened': 1}
employment;1;1;{'workers': 1}
diagram;1;1;{'picture': 1}
sense;1;1;{'point': 1}
mostly;1;1;{'majority': 1}
shares;1;1;{'amount': 1}
creation;1;1;{'mind': 1}
offered;1;1;{'availed': 1}
approaches;1;1;{'advances': 1}
land;1;1;{'earth': 1}
More;1;1;{'Very': 1}
Speaking;1;1;{'Talking': 1}
manage;1;1;{'make': 1}
reflects;1;1;{'had': 1}
discover;1;1;{'know': 1}
background;1;1;{'base': 1}
peculiarities;1;1;{'specification': 1}
depicts;1;1;{'pictures': 1}
meals;1;1;{'dishes': 1}
measure;1;1;{'quantity': 1}
directors;1;1;{'chiefs': 1}
movement;1;1;{'discourse': 1}
add;1;1;{'bring': 1}
attracts;1;1;{'requires': 1}
stronger;1;1;{'bigger': 1}
considerable;1;1;{'efficient': 1}
cuisine;1;1;{'kitchen': 1}
staying;1;1;{'doing': 1}
Talking;1;1;{'Stealing': 1}
unchanged;1;1;{'constantly': 1}
extraordinary;1;1;{'outstanding': 1}
units;1;1;{'unions': 1}
attempts;1;1;{'efforts': 1}
conflicts;1;1;{'misunderstanding': 1}
reliable;1;1;{'safety': 1}
actors;1;1;{'artists': 1}
minimal;1;1;{'minute': 1}
appeared;1;1;{'became': 1}
imagine;1;1;{'mind': 1}
efficiently;1;1;{'effective': 1}
turn;1;1;{'attend': 1}
diverse;1;1;{'complex': 1}
involving;1;1;{'like': 1}
willing;1;1;{'desiring': 1}
excluding;1;1;{'without': 1}
child;1;1;{'young': 1}
participants;1;1;{'contestants': 1}
patterns;1;1;{'opposite': 1}
opened;1;1;{'founded': 1}
distance;1;1;{'stopping': 1}
locals;1;1;{'tribesmen': 1}
peaks;1;1;{'tops': 1}
tools;1;1;{'ways': 1}
gone;1;1;{'reduced': 1}
importing;1;1;{'abroad': 1}
contemporary;1;1;{'current': 1}
considering;1;1;{'taking': 1}
polluting;1;1;{'wasting': 1}
destroyed;1;1;{'ruined': 1}
conduct;1;1;{'lead': 1}
brain;1;1;{'mental': 1}
refuse;1;1;{'decline': 1}
studied;1;1;{'explored': 1}
creative;1;1;{'artistic': 1}
lifetime;1;1;{'way': 1}
expand;1;1;{'increase': 1}
phone;1;1;{'telephone': 1}
sight;1;1;{'look': 1}
eliminate;1;1;{'exterminate': 1}
concern;1;1;{'function': 1}
pass;1;1;{'make': 1}
bankruptcy;1;1;{'ruin': 1}
return;1;1;{'recover': 1}
spectator;1;1;{'beholder': 1}
wherever;1;1;{'whenever': 1}
released;1;1;{'launched': 1}
severe;1;1;{'hard': 1}
path;1;1;{'road': 1}
holds;1;1;{'remains': 1}
threatening;1;1;{'dangerous': 1}
room;1;1;{'place': 1}
projects;1;1;{'activities': 1}
convince;1;1;{'assure': 1}
cinematography;1;1;{'movies': 1}
weather;1;1;{'climate': 1}
teaching;1;1;{'learning': 1}
construction;1;1;{'production': 1}
serving;1;1;{'ask': 1}
alternatives;1;1;{'substitutes': 1}
homes;1;1;{'shelters': 1}
campaign;1;1;{'company': 1}
outnumber;1;1;{'overcome': 1}
Unlike;1;1;{'Instead': 1}
imprisonment;1;1;{'time': 1}
quarters;1;1;{'fourth': 1}
obligatory;1;1;{'inevitable': 1}
teaches;1;1;{'learns': 1}
perspective;1;1;{'sight': 1}
introducing;1;1;{'making': 1}
habit;1;1;{'habitat': 1}
northern;1;1;{'North': 1}
routes;1;1;{'distances': 1}
household;1;1;{'home': 1}
specific;1;1;{'concrete': 1}
eliminated;1;1;{'removed': 1}
recently;1;1;{'newly': 1}
applicants;1;1;{'alumni': 1}
sensitive;1;1;{'sensible': 1}
perform;1;1;{'comply': 1}
six;1;1;{'few': 1}
per;1;1;{'each': 1}
illustration;1;1;{'case': 1}
option;1;1;{'variant': 1}
Over;1;1;{'For': 1}
Such;1;1;{'This': 1}
introduced;1;1;{'performed': 1}
force;1;1;{'enforce': 1}
convenience;1;1;{'facility': 1}
looking;1;1;{'searching': 1}
consisted;1;1;{'consistent': 1}
consuming;1;1;{'taking': 1}
rapid;1;1;{'sweeping': 1}
effective;1;1;{'true': 1}
keeps;1;1;{'harbours': 1}
piece;1;1;{'creation': 1}
gap;1;1;{'lack': 1}
described;1;1;{'explained': 1}
supporting;1;1;{'with': 1}
proved;1;1;{'showed': 1}
believes;1;1;{'consider': 1}
analyze;1;1;{'know': 1}
numerous;1;1;{'more': 1}
division;1;1;{'share': 1}
attract;1;1;{'appeal': 1}
importance;1;1;{'meaning': 1}
unacceptable;1;1;{'unaffordable': 1}
impact;1;1;{'effort': 1}
replace;1;1;{'substitute': 1}
restriction;1;1;{'permission': 1}
controlled;1;1;{'banished': 1}
thanks;1;1;{'Due': 1}
column;1;1;{'graph': 1}
emphasize;1;1;{'remember': 1}
outdoors;1;1;{'outside': 1}
wealth;1;1;{'rich': 1}
appealing;1;1;{'attractive': 1}
concerned;1;1;{'regarded': 1}
market;1;1;{'niche': 1}
came;1;1;{'emigrated': 1}
gradual;1;1;{'slow': 1}
preference;1;1;{'premier': 1}
aesthetic;1;1;{'aesthetics': 1}
institutions;1;1;{'departments': 1}
Eastern;1;1;{'East': 1}
easy;1;1;{'clear': 1}
thoughts;1;1;{'opinion': 1}
restrictions;1;1;{'stops': 1}
destruction;1;1;{'reduction': 1}
exceeded;1;1;{'overstepped': 1}
private;1;1;{'intellectual': 1}
generally;1;1;{'commonly': 1}
danger;1;1;{'threat': 1}
born;1;1;{'burn': 1}
reaching;1;1;{'rising': 1}
Despite;1;1;{'While': 1}
found;1;1;{'spotted': 1}
addressed;1;1;{'solved': 1}
continues;1;1;{'remain': 1}
disadvantage;1;1;{'disability': 1}
ability;1;1;{'skills': 1}
created;1;1;{'made': 1}
out;1;1;{'outside': 1}
exceeds;1;1;{'excels': 1}
graduates;1;1;{'gender': 1}
destroy;1;1;{'evict': 1}
appreciate;1;1;{'estimate': 1}
reflect;1;1;{'influence': 1}
rarely;1;1;{'poorly': 1}
far;1;1;{'wide': 1}
accessibility;1;1;{'available': 1}
face;1;1;{'have': 1}
line;1;1;{'count': 1}
departments;1;1;{'faculties': 1}
questions;1;1;{'businesses': 1}
destroying;1;1;{'breaking': 1}
prohibited;1;1;{'abandoned': 1}
degree;1;1;{'level': 1}
columns;1;1;{'graphs': 1}
weak;1;1;{'poor': 1}
forces;1;1;{'provide': 1}
materials;1;1;{'nature': 1}
looks;1;1;{'comes': 1}
noticed;1;1;{'seen': 1}
doctors;1;1;{'medics': 1}
pressure;1;1;{'violence': 1}
accounting;1;1;{'allocating': 1}
simply;1;1;{'just': 1}
complicated;1;1;{'perplexed': 1}
vary;1;1;{'change': 1}
visible;1;1;{'seen': 1}
destructive;1;1;{'destroyed': 1}
criminal;1;1;{'outlaw': 1}
gained;1;1;{'excluded': 1}
contrary;1;1;{'opposite': 1}
territory;1;1;{'government': 1}
characters;1;1;{'heros': 1}
cars;1;1;{'autos': 1}
goals;1;1;{'aims': 1}
perceive;1;1;{'realize': 1}
community;1;1;{'humanity': 1}
stores;1;1;{'shops': 1}
put;1;1;{'have': 1}
competitors;1;1;{'competition': 1}
otherwise;1;1;{'thus': 1}
speech;1;1;{'words': 1}
salary;1;1;{'payment': 1}
faster;1;1;{'often': 1}
drops;1;1;{'plunges': 1}
drinking;1;1;{'still': 1}
industrial;1;1;{'manufacture': 1}
focus;1;1;{'lead': 1}
struggle;1;1;{'fights': 1}
roads;1;1;{'rides': 1}
facilities;1;1;{'objects': 1}
demographic;1;1;{'social': 1}
followed;1;1;{'replaced': 1}
identify;1;1;{'indicate': 1}
unknown;1;1;{'infamous': 1}
browsing;1;1;{'seeing': 1}
